44c05777-88df-443f-b9f0-8da4a2f3ec3f	2023/20/15 	 12:20:28	 ad956	/1	GET
5066dbff-33c3-40d1-8da3-85fd86bfc3ef	2023/20/15 	 12:20:35	 ad956	/stud/1	GET
80dfc345-8c66-4bbb-803b-904f94bf7716	2023/20/15 	 12:20:45	 ad956	/stud/?id=1	GET
2495d6b5-f5b4-4fa4-9248-411fcf8f9803	2023/21/15 	 12:21:06	 ad956	/stu/?id=1	GET
8dfc260a-1cba-4e91-9e7a-6859a7b945e6	2023/21/15 	 12:21:30	 ad956	/all	GET
496980e6-27c5-49ec-9d0b-ee45771842bb	2023/21/15 	 12:21:34	 ad956	/stu	GET
3b9aa1c9-d3ac-4d46-82f1-efa25ed00b5a	2023/21/15 	 12:21:47	 ad956	/stu/	GET
06119c80-60a0-4020-a14a-9d7887b9f197	2023/22/15 	 12:22:29	 ad956	/stu/	GET
740b3b46-ae94-42e3-8917-32274bdd4385	2023/22/15 	 12:22:54	 ad956	/stu/	GET
fbca1bdd-caf0-4ea4-aaf3-72cd3412c4c3	2023/25/15 	 12:25:56	 ad956	/stu/	GET
6b75591a-f60b-4e80-a288-a9c48fd625ee	2023/30/15 	 12:30:15	 ad956	/stu/sa	GET
9d23399c-a5be-4a83-b3de-947b4741ce53	2023/30/15 	 12:30:26	 ad956	/sx	GET
188b2a5e-41c0-4460-bedf-e490e3023b7f	2023/30/15 	 12:30:29	 ad956	/	GET
6db92add-523c-4798-bc69-6754bed060d5	2023/30/15 	 12:30:32	 ad956	/all	GET
3a46977b-7109-44d6-a23a-1d99df05321d	2023/30/15 	 12:30:36	 ad956	/allx	GET
72d43b7e-ff72-48b9-ac3b-dc9ac19f88d4	2023/30/15 	 12:30:39	 ad956	/stu	GET
b3634a87-3453-4ddd-b134-0f02520f0192	2023/30/15 	 12:30:58	 ad956	/stu	GET
a98dc26c-1bde-4b3d-aac3-3ecbd1da21ca	2023/31/15 	 12:31:37	 ad956	/stu?id=1	GET
0405e330-8315-455d-b0c2-b4a22e818e90	2023/32/15 	 12:32:18	 ad956	/stu?id=12	GET
f2260e01-8094-49e8-a43a-b9386243604a	2023/33/15 	 12:33:27	 ad956	/stu?id=12	GET
eeb19c46-48c8-44bc-a935-d1ca986951e2	2023/33/15 	 12:33:39	 ad956	/stu?id=12	GET
2cdbe207-25f0-47e2-b094-028cbeb71716	2023/34/15 	 12:34:04	 ad956	/stu?id=12	GET
be86b2ab-1487-45f6-a7c9-b3bc1c520e27	2023/34/15 	 12:34:16	 ad956	/stu?id=1	GET
e6be05f4-45ec-407f-8395-2be2dc4feb89	2023/35/15 	 12:35:13	 ad956	/stu?id=5	POST
9467a280-a223-4877-95e1-2e70d4f34cc2	2023/35/15 	 12:35:22	 ad956	/stu?id=5&name=test1	POST
73b2a157-a18d-40a8-8d81-138c1c4ea8ef	2023/35/15 	 12:35:32	 ad956	/stu?id=5&name=test1&spec=Gaming	POST
49aa2155-31f1-43b6-a798-d148ced64c01	2023/35/15 	 12:35:47	 ad956	/stu?id=5&name=test1&spec=game	POST
f7940e27-ca7d-4ecc-b429-005a43555d4d	2023/36/15 	 12:36:25	 ad956	/stu?id=2	PUT
31c77670-3eb6-4e21-84ff-18cef5822e84	2023/36/15 	 12:36:50	 ad956	/stu?id=4	DELETE
2d58d8fa-fbdb-4efa-a807-d8604ef6dd94	2023/38/15 	 12:38:48	 ad956	/stu?id=1	GET
35aaa5d4-74cf-4a0d-99fc-7d3523c9acec	2023/43/15 	 12:43:35	 ad956	/stu?id=1	GET
792b99b1-4575-4125-be6b-0a56b49eabb1	2023/45/15 	 12:45:56	 ad956	/stu?id=1	GET
6c4ea5bb-0500-494a-939a-4987e36bd1b6	2023/46/15 	 12:46:15	 ad956	/stu?id=1	GET
9355bc36-0976-4258-919a-93bb091a8c24	2023/46/15 	 12:46:51	 ad956	/stu?id=1	GET
24cf1d17-60fe-47fc-b90f-25800d3d2d83	2023/47/15 	 12:47:59	 ad956	/stu?id=5&name=test1&spec=game	POST
d9686b5d-ff18-4039-b518-a9563b2870a4	2023/48/15 	 12:48:23	 ad956	/stu?id=5&name=test1&spec=game	POST
286909a2-8839-40c0-bc99-d28675bb1409	2023/49/15 	 12:49:27	 ad956	/stu?id=5&name=test1&spec=game	POST
cb90d243-87ad-49dd-80fb-1a780d97fb61	2023/50/15 	 12:50:02	 ad956	/stu	POST
981e3b12-1e10-47d9-a3ab-3dff952ca626	2023/50/15 	 12:50:32	 ad956	/stu	POST
311d1d8a-f3f1-4dbb-aa4b-20e33e973fa4	2023/52/15 	 12:52:46	 ad956	/stu?id=1	GET
0a556236-6431-4bcd-a174-b6309e2844f4	2023/53/15 	 12:53:02	 ad956	/stu	GET
31895226-d66e-4518-b8d4-26d956866abf	2023/53/15 	 12:53:10	 ad956	/stu?id=1	GET
8c8d52a9-1f96-460a-849c-d9d1d653cb9a	2023/55/15 	 12:55:26	 ad956	/stu	POST
ad4bed4d-cee7-42b4-9c0e-c22932b8e98a	2023/55/15 	 12:55:48	 ad956	/stu	POST
ac9f31b8-0103-473d-912c-607cc4ff0cf2	2023/56/15 	 12:56:47	 ad956	/stu	POST
c82d688d-7954-4ead-886b-bcb47b5a6a85	2023/57/15 	 12:57:23	 ad956	/stu	POST
5e57568e-5899-42ec-8b97-d8947cc4d28b	2023/01/15 	 01:01:02	 ad956	/stu	POST
